date,short position,long position,net position,short pnl,long pnl,short return,long return,accumulate return
2016-03-02 16:55:00,0,0,0,,8.4925,,0.00283083333333,0.00283083333333
2016-03-03 16:55:00,0,0,0,,,,,0.00283083333333
2016-03-04 16:55:00,-20,0,-20,,,,,0.00283083333333
2016-03-07 16:55:00,-80,0,-80,,,,,0.00283083333333
2016-03-08 16:55:00,-80,0,-80,,,,,0.00283083333333
2016-03-09 16:55:00,-160,0,-160,,,,,0.00283083333333
2016-03-10 16:55:00,-160,0,-160,,,,,0.00283083333333
2016-03-11 16:55:00,-160,0,-160,,,,,0.00283083333333
2016-03-14 16:55:00,0,0,0,150.8225,,0.0502741666667,,0.053105
2016-03-15 16:55:00,0,0,0,,,,,0.053105
2016-03-16 16:55:00,0,0,0,,,,,0.053105
2016-03-17 16:55:00,-20,0,-20,,,,,0.053105
2016-03-18 16:55:00,-40,0,-40,,,,,0.053105
2016-03-21 14:25:00,0,0,0,39.83,,0.0132766666667,,0.0663816666667
2016-03-22 16:55:00,-10,0,-10,,,,,0.0663816666667
2016-03-23 16:55:00,0,0,0,20.4625,,0.00682083333333,,0.0732025
2016-03-24 16:55:00,0,0,0,,,,,0.0732025
2016-03-28 16:55:00,0,0,0,,,,,0.0732025
2016-03-29 16:55:00,0,0,0,,,,,0.0732025
2016-03-30 16:55:00,0,0,0,,,,,0.0732025
2016-03-31 16:55:00,0,0,0,,,,,0.0732025
2016-04-01 16:55:00,0,0,0,,,,,0.0732025
2016-04-04 16:55:00,0,0,0,,,,,0.0732025
2016-04-05 16:55:00,0,0,0,,,,,0.0732025
2016-04-06 16:55:00,0,0,0,,,,,0.0732025
2016-04-07 16:55:00,0,0,0,,,,,0.0732025
2016-04-08 16:55:00,0,0,0,,,,,0.0732025
2016-04-11 16:55:00,0,0,0,,,,,0.0732025
2016-04-12 16:55:00,0,0,0,,,,,0.0732025
2016-04-13 16:55:00,0,0,0,,,,,0.0732025
2016-04-14 16:55:00,0,0,0,,,,,0.0732025
2016-04-15 16:55:00,0,0,0,,,,,0.0732025
2016-04-18 16:55:00,0,0,0,,,,,0.0732025
2016-04-19 16:55:00,0,0,0,,,,,0.0732025
2016-04-20 14:25:00,-10,0,-10,,,,,0.0732025
2016-04-21 16:55:00,-40,0,-40,,,,,0.0732025
2016-04-22 16:55:00,-40,0,-40,,,,,0.0732025
2016-04-25 16:55:00,-40,0,-40,,,,,0.0732025
2016-04-26 16:55:00,-40,0,-40,,,,,0.0732025
2016-04-27 16:55:00,-80,0,-80,,,,,0.0732025
2016-04-28 16:55:00,-160,0,-160,,,,,0.0732025
2016-04-29 16:55:00,-160,0,-160,,,,,0.0732025
2016-05-02 16:55:00,-160,0,-160,,,,,0.0732025
2016-05-03 16:55:00,0,0,0,180.4725,,0.0601575,,0.13336
2016-05-04 16:55:00,0,0,0,,,,,0.13336
2016-05-05 16:55:00,0,0,0,,,,,0.13336
2016-05-06 16:55:00,0,0,0,,,,,0.13336
2016-05-09 16:55:00,0,0,0,,,,,0.13336
2016-05-10 16:55:00,0,0,0,,,,,0.13336
2016-05-11 16:55:00,0,0,0,,,,,0.13336
2016-05-12 16:55:00,-10,0,-10,,,,,0.13336
2016-05-13 16:55:00,-10,0,-10,,,,,0.13336
2016-05-16 16:55:00,-20,0,-20,,,,,0.13336
2016-05-17 16:55:00,-40,0,-40,,,,,0.13336
2016-05-18 16:55:00,-40,0,-40,,,,,0.13336
2016-05-19 16:55:00,0,0,0,47.9425,,0.0159808333333,,0.149340833333
2016-05-20 14:25:00,0,0,0,,,,,0.149340833333
2016-05-23 16:55:00,0,0,0,,,,,0.149340833333
2016-05-24 16:55:00,0,0,0,,,,,0.149340833333
2016-05-25 16:55:00,-10,0,-10,,,,,0.149340833333
2016-05-26 16:55:00,-10,0,-10,,,,,0.149340833333
2016-05-27 16:55:00,0,0,0,0.9,,0.0003,,0.149640833333
